_id,telegramId,gameId,headquarter.level,$SEYA
671cfd5088b110ec10316fc5,6671396015,851625779,35,35000
671cf72b6604ba591808072b,6892324837,631371726,27,30000
67132c6d8063bb3d050e8d0d,7025981287,132367375,26,30000
671c8bf36604ba5918d2d2c6,7472528816,414085649,25,30000
6714026854be8b92cc234737,6485297837,933976760,22,30000
671679b288b110ec10309ec7,889755062,913987473,20,30000
671d8eb6da4babbdeb98e8ca,6931567004,128007365,20,30000
6714307954be8b92cc287811,1569803735,205576220,19,20000
67169ce888b110ec1030eff9,1892219922,382122937,19,20000
67132311e68f0cbd995ef5d9,778706481,380472800,18,20000
67137fd3399eac3bb6e67a06,816374135,659614043,18,20000
671406ae54be8b92cc23d180,6817132754,999170398,18,20000
671a06cb4d9b45c63120de10,b3668489900,921067462,18,20000
671a090e4d9b45c63120de98,b8723125520,600563995,18,20000
671c979b6604ba5918da434d,5778270619,282368829,18,20000
671d260eb93060885e3b4732,b9134645440,774556411,18,20000
671d2956b93060885e3b476c,b7313655320,429357075,18,20000
671db12cb93060885e3cf7a3,b7049102750,253353223,18,20000
671355228f1326428fc4d411,5928405077,894114144,17,20000
6713c16954be8b92cc1e939b,5144424446,370678486,17,20000
67155e65902cdac5f374b518,5724185866,675899652,17,20000
6715fe260bb7a6e9b66dba51,7100693230,138183278,17,20000
671697cdd741ca6631a309ba,b4547582450,160718187,17,20000
671745c1ff9afb01328440b3,b2870714160,624038292,17,20000
67175cdaff9afb01328440f1,b6637906030,473758493,17,20000
67176aabff9afb0132844131,b6150223080,638829892,17,20000
6717d1daff9afb0132844181,b5387415790,743790772,17,20000
6717d203ff9afb0132844199,b8151836200,482641231,17,20000
6717d6abff9afb01328441cf,b3011824420,248097748,17,20000
67186d07d1ef0d7c09a9116a,b9658447310,566336182,17,20000
671870cad1ef0d7c09a91180,b7497616840,143662820,17,20000
67187258d1ef0d7c09a91198,b1655809370,205597153,17,20000
6718725ed1ef0d7c09a9119c,b5253400050,861970173,17,20000
671873a1d1ef0d7c09a911b0,b6088081530,406660835,17,20000
67187483d1ef0d7c09a911be,b7490056580,286747510,17,20000
67187929d1ef0d7c09a911f6,b6329806760,105803684,17,20000
67187a3bd1ef0d7c09a91208,b6279595040,286960031,17,20000
67187a42d1ef0d7c09a9120e,b6929736770,356996489,17,20000
6718a41ad1ef0d7c09a9123e,b7984004650,852568315,17,20000
6719cb2e4d9b45c63120dc50,b8013132890,367902623,17,20000
6719cba64d9b45c63120dc60,b5020397410,841445538,17,20000
6719f2434d9b45c63120dc8a,b9580786930,616160460,17,20000
6719f3d84d9b45c63120dca0,b4935334490,640901571,17,20000
6719ffe94d9b45c63120dce2,b1815048200,127045898,17,20000
6719fffb4d9b45c63120dce8,b7019295980,612394316,17,20000
671a00514d9b45c63120dd02,b2136885160,869167180,17,20000
671a01384d9b45c63120dd28,b7192092320,673610084,17,20000
671a02014d9b45c63120dd2c,b2743683186,884219780,17,20000
671a02244d9b45c63120dd42,b4812584310,977896845,17,20000
671a022b4d9b45c63120dd46,b3898303110,239082777,17,20000
671a02e64d9b45c63120dd5a,b1261758990,224345569,17,20000
671a031c4d9b45c63120dd74,b1451114150,846373946,17,20000
671a03d94d9b45c63120dd7e,b8840575580,868143059,17,20000
671a04d24d9b45c63120ddb4,b8594685509,543835499,17,20000
671a056c4d9b45c63120ddda,b5381247200,980657542,17,20000
671a06044d9b45c63120ddea,b1043570010,265215881,17,20000
671a06074d9b45c63120ddec,b6028156870,137202254,17,20000
671a06474d9b45c63120de06,b1758577880,311275361,17,20000
671a07914d9b45c63120de52,b2150351250,431684620,17,20000
671a085e4d9b45c63120de6e,b1858838530,854075376,17,20000
671a08eb4d9b45c63120de84,b9936077000,569552599,17,20000
671a08fc4d9b45c63120de8e,b8774827020,607304369,17,20000
671a099f4d9b45c63120deae,b8194069440,516949401,17,20000
671a09ab4d9b45c63120deb8,b9701290660,380033008,17,20000
671a0b654d9b45c63120def6,b2948362810,701369547,17,20000
671a0b7f4d9b45c63120df02,b9690436510,876885345,17,20000
671a0b814d9b45c63120df04,b2921969950,301995748,17,20000
671a0b8c4d9b45c63120df0c,b3089143660,350212931,17,20000
671a0c7a4d9b45c63120df26,b9815040700,562024776,17,20000
671a0c884d9b45c63120df32,b7152856170,475269796,17,20000
671a0d7e4d9b45c63120df4e,b8979973490,464395015,17,20000
671a0d954d9b45c63120df5a,b9562102790,313191235,17,20000
671b03134d9b45c63120df70,b7582469680,548597852,17,20000
671b04814d9b45c63120dfb8,b3875181570,908624106,17,20000
671b05844d9b45c63120dfe0,b3006245170,839713515,17,20000
671b067b4d9b45c63120e01c,b1045530120,757487020,17,20000
671b067e4d9b45c63120e01e,b4784600850,961592079,17,20000
671b0aca4d9b45c63120e046,b4494008610,182102437,17,20000
671b0ad24d9b45c63120e04c,b9993391820,551704428,17,20000
671b0c324d9b45c63120e054,b1022975680,805289802,17,20000
671b0c614d9b45c63120e072,b2047944040,851156824,17,20000
671b0c654d9b45c63120e074,b8259761640,645273784,17,20000
671b0dee4d9b45c63120e09a,b3334357400,170084190,17,20000
671b10634d9b45c63120e0bc,b1654957720,325263262,17,20000
671b124e4d9b45c63120e0ca,b1453380630,739392924,17,20000
671b12f34d9b45c63120e0fe,b2616400680,373545700,17,20000
671b12f64d9b45c63120e100,b7283436010,867457133,17,20000
671b15094d9b45c63120e11a,b5378677180,829974189,17,20000
671b16ba4d9b45c63120e162,b7395728430,924337012,17,20000
671b17144d9b45c63120e17e,b1293676050,483433372,17,20000
671cb17c136217b97e52d79c,b9248109040,698895653,17,20000
671cb194136217b97e52d7a6,b8051436859,614894449,17,20000
671cb1a9136217b97e52d7b4,b8345709440,444253043,17,20000
671cb27b136217b97e52d7c2,b8307217560,528249265,17,20000
671cb359136217b97e52d7e8,b1891753530,384984806,17,20000
671cb35f136217b97e52d7ec,b5309824910,350220270,17,20000
671cc551136217b97e52d84c,b8728030450,709395371,17,20000
671cc570136217b97e52d860,b1909589080,547933774,17,20000
